sensor_id,sensor_name,zone_id,equipment_tag,sensor_type,unit,normal_min,normal_max,warning_min,warning_max,critical_min,critical_max,absolute_physical_min,absolute_physical_max,sampling_interval_seconds,expected_noise_percent,calibration_interval,sensor_accuracy,response_time,update_frequency,SCADA_tag,alarm_priority,importance_score,maintenance_frequency,whether_redundant_backup_sensor_exists,expected_sensor_lifetime,whether_participates_in_compound_risk_detection,behavior_profile_id,noise_profile_id,physical_response_type,inertia_class,max_physical_rate_of_change,min_physical_rate_of_change,failure_modes,default_quality_mapping_profile_id,operational_phase_tags
Z1_CO_01,Battery Top CO Detector,1,EQ_Z1_BAT_TOP,Toxic Gas (CO),ppm,0,25,25,35,50,200,0,1000,2,3,30 days,2,20,1,GD-CO-Z1-01,1,9,monthly,yes,5,yes,BEH_RANDOM_DRIFT,NOISE_LOW,gas_diffusion,FAST,2.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z1_LEL_01,Battery Top Flammable Gas LEL Detector,1,EQ_Z1_BAT_TOP,Flammable Gas (%LEL),%LEL,0,10,10,20,40,100,0,100,2,3,30 days,3,20,1,GD-LEL-Z1-01,1,9,monthly,yes,5,yes,BEH_RANDOM_DRIFT,NOISE_LOW,gas_diffusion,FAST,2.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z1_O2_01,Battery Top Oxygen Sensor,1,EQ_Z1_BAT_TOP,Oxygen,%vol,19.5,21.5,19,23.5,17,25,0,25,2,2,30 days,0.2,15,1,GD-O2-Z1-01,2,8,monthly,yes,5,yes,BEH_STABLE,NOISE_LOW,atmosphere,MEDIUM,0.1,0.01,EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z1_TEMP_01,Battery Top Temperature Thermocouple,1,EQ_Z1_BAT_TOP,Temperature,°C,950,1200,900,1250,800,1300,0,1500,10,1,90 days,1,5,0.5,TT-BAT-TOP-Z1-01,2,7,quarterly,yes,5,yes,BEH_THERMAL_INERTIA,NOISE_LOW,thermal_inertia,SLOW,5.0,0.1,EV_THERMAL_DRIFT,QM_TEMP,normal_coking
Z1_WIND_01,Battery Top Wind Speed Sensor,1,EQ_Z1_BAT_TOP,Wind Speed,m/s,0,15,15,25,25,60,0,60,10,2,180 days,3,3,0.5,WS-BAT-Z1-01,3,4,6-monthly,no,10,no,BEH_OSCILLATION,NOISE_MEDIUM,atmosphere,FAST,2.0,0.0,,QM_OTHER,normal_coking
Z1_BENZ_01,Battery Top Fugitive Benzene/VOC PID Detector,1,EQ_Z1_BAT_TOP,Benzene/VOC (PID),ppm,0,1,1,5,5,50,0,200,5,5,30 days,5,10,1,GD-BENZ-Z1-01,1,9,monthly,yes,5,yes,BEH_RANDOM_DRIFT,NOISE_MEDIUM,gas_diffusion,FAST,2.0,0.1,EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z1_MOIST_01,Coal Tower Moisture Analyzer,1,EQ_Z1_COAL_TWR,Coal Moisture (Microwave),%moisture,6,10,10,12,12,18,0,20,30,2,90 days,0.3,5,1,MA-COAL-Z1-01,3,6,quarterly,no,8,yes,BEH_RANDOM_DRIFT,NOISE_LOW,level_control,SLOW,0.2,0.01,EV_MOISTURE_DRIFT,QM_OTHER,normal_coking
Z2_PUSHFORCE_01,Pusher Ram Hydraulic Force (% Baseline),2,EQ_Z2_PUSHER,Hydraulic Pressure,%baseline,0,125,125,175,175,250,0,300,1,2,90 days,1,1,2,PF-PSH-Z2-01,1,10,quarterly,yes,8,yes,BEH_LINEAR_RISE,NOISE_LOW,mechanical_motion,FAST,20.0,1.0,EV_PUSH_STICKER;EV_GAS_LEAK_MAJOR,QM_MECH,pushing
Z2_RAMVIB_01,Pusher Ram Vibration Index,2,EQ_Z2_PUSHER,Vibration (Accelerometer),mm/s RMS,0,2.3,2.3,4.5,4.5,7.1,0,20,1,3,180 days,2,1,2,VIB-PSH-Z2-01,2,7,6-monthly,no,6,yes,BEH_RANDOM_DRIFT,NOISE_MEDIUM,mechanical_motion,MEDIUM,1.0,0.0,EV_MECH_FAILURE,QM_MECH,pushing
Z2_HOODSEAL_01,Pusher Hood Seal Status,2,EQ_Z2_PUSHER,Position/Pressure Switch,boolean,0,1,0,1,0,1,0,1,1,0,180 days,0,1,1,HS-PSH-Z2-01,1,7,6-monthly,no,8,yes,BEH_STEP_CHANGE,NOISE_NONE,mechanical_state,FAST,1.0,0.0,EV_PPE_VIOLATION;EV_HOOD_OPEN,QM_BOOLEAN,pushing
Z2_GREENPUSH_01,Green Push Compound Flag,2,EQ_Z2_PUSHER,Opacity+Force Compound,boolean,0,1,0,1,0,1,0,1,1,0,n/a,0,2,1,GP-PSH-Z2-01,1,9,n/a,no,5,yes,BEH_STEP_CHANGE,NOISE_NONE,compound_state,FAST,1.0,0.0,EV_GREEN_PUSH,QM_BOOLEAN,pushing
Z2_STACKOP_01,Battery Stack Opacity (COMS),2,EQ_Z2_STACK,Optical Opacity,%,0,10,10,15,15,20,0,100,10,3,90 days,2,10,1,OP-STK-Z2-01,1,8,quarterly,yes,7,yes,BEH_RANDOM_DRIFT,NOISE_LOW,atmosphere,MEDIUM,2.0,0.1,EV_GREEN_PUSH,QM_GAS,normal_coking
Z2_QUENCHTDS_01,Quench Water TDS,2,EQ_Z2_QUENCH_TWR,Water Quality (TDS),mg/L,0,500,500,1100,1100,3000,0,3000,60,2,90 days,3,30,0.5,TDS-CQN-Z2-01,2,6,quarterly,no,5,yes,BEH_SLOW_DRIFT,NOISE_LOW,level_control,SLOW,10.0,0.5,EV_WATER_QUALITY_DRIFT,QM_OTHER,quenching
Z2_BAFFLE_01,Quench Tower Baffle Open Area,2,EQ_Z2_QUENCH_TWR,Maintenance Status,%blocked,0,2,2,5,5,100,0,100,3600,5,180 days,5,3600,0.1,BF-CQN-Z2-01,3,5,6-monthly,no,10,no,BEH_SLOW_DRIFT,NOISE_LOW,maintenance_state,SLOW,1.0,0.0,EV_MAINTENANCE_START;EV_MAINTENANCE_END,QM_OTHER,quenching
Z2_COKEHOTSPOT_01,Coke Bed Hotspot (IR Thermal),2,EQ_Z2_QUENCH_TWR,Infrared Thermal,°C,0,100,100,300,300,1000,0,1200,5,5,180 days,5,1,2,IR-CQN-Z2-01,1,8,6-monthly,yes,6,yes,BEH_SPIKE,NOISE_MEDIUM,thermal_inertia,FAST,50.0,1.0,EV_FIRE_DETECTION,QM_TEMP,quenching
Z2_POS_QCAR_01,Quench Car Position Sensor,2,EQ_Z2_QUENCH_TRACK,Position,m,0,100,101,102,103,1000,0,100,1,0.5,365 days,0.1,1,2,POS-QCAR-Z2-01,3,7,annual,yes,10,yes,BEH_LINEAR_OSCILLATION,NOISE_NONE,mechanical_motion,FAST,10.0,0.0,EV_LINE_OF_FIRE,QM_MECH,quenching
Z2_SMOKE_01,Quench Track Smoke Detector,2,EQ_Z2_QUENCH_TRACK,Smoke Attenuation,dB/m,0,0.04,0.04,0.08,0.08,0.2,0,0.2,5,5,180 days,0.01,30,1,SD-Z2-01,2,6,6-monthly,no,8,yes,BEH_SPIKE,NOISE_MEDIUM,atmosphere,FAST,0.02,0.0,EV_SMOKE_DETECTION,QM_GAS,quenching
Z2_LEL_01,Quench Area Flammable Gas LEL Detector,2,EQ_Z2_QUENCH_TRACK,Flammable Gas (%LEL),%LEL,0,10,10,20,40,100,0,100,2,3,30 days,3,20,1,GD-LEL-Z2-01,1,8,monthly,yes,5,yes,BEH_RANDOM_DRIFT,NOISE_LOW,gas_diffusion,FAST,2.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,quenching
Z3_H2S_01,Basement H2S Detector,3,EQ_Z3_VALVE_GALLERY,Toxic Gas (H2S),ppm,0,5,5,10,10,100,0,200,2,3,30 days,2,20,1,GD-H2S-Z3-01,1,9,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z3_LEL_01,Basement Flammable Gas LEL Detector,3,EQ_Z3_VALVE_GALLERY,Flammable Gas (%LEL),%LEL,0,10,10,20,40,100,0,100,2,3,30 days,3,20,1,GD-LEL-Z3-01,1,9,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z3_O2_01,Basement Oxygen Sensor,3,EQ_Z3_VALVE_GALLERY,Oxygen,%vol,19.5,21.5,19,23.5,17,25,0,25,2,2,30 days,0.2,15,1,GD-O2-Z3-01,2,8,monthly,yes,5,yes,BEH_LINEAR_FALL,NOISE_LOW,atmosphere,MEDIUM,0.3,0.05,EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z3_CO_01,Basement CO Detector,3,EQ_Z3_VALVE_GALLERY,Toxic Gas (CO),ppm,0,25,25,35,50,200,0,1000,2,3,30 days,2,20,1,GD-CO-Z3-01,2,8,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z4_H2S_01,Tar Area H2S Detector,4,EQ_Z4_TAR_EXTRACTOR,Toxic Gas (H2S),ppm,0,5,5,10,10,100,0,200,2,3,30 days,2,20,1,GD-H2S-Z4-01,1,9,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z4_NH3_01,Tar Area NH3 Detector,4,EQ_Z4_TAR_EXTRACTOR,Toxic Gas (NH3),ppm,0,25,25,50,50,300,0,300,2,3,30 days,3,20,1,GD-NH3-Z4-01,1,8,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z4_TAR_TEMP_01,Tar Decanter Temperature Sensor,4,EQ_Z4_TAR_EXTRACTOR,Temperature,°C,70,85,60,90,50,100,0,150,10,1,90 days,1,5,0.5,TT-TAR-DEC-Z4-01,2,7,quarterly,yes,5,yes,BEH_THERMAL_INERTIA,NOISE_LOW,thermal_inertia,SLOW,2.0,0.1,EV_THERMAL_DRIFT,QM_TEMP,normal_coking
Z4_LEL_01,Tar Area Flammable Gas LEL Detector,4,EQ_Z4_TAR_EXTRACTOR,Flammable Gas (%LEL),%LEL,0,10,10,20,40,100,0,100,2,3,30 days,3,20,1,GD-LEL-Z4-01,1,9,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z4_PRESS_01,Hydraulic Main / GCM Draft Pressure,4,EQ_Z4_TAR_EXTRACTOR,Pressure (Draft),mmWC,-10,-5,-15,-3,-20,0,-50,50,30,3,90 days,2,10,1,PT-GSH-601,1,9,quarterly,yes,7,yes,BEH_LINEAR_RISE,NOISE_LOW,hydraulic_pressure,MEDIUM,2.0,0.1,EV_PRESSURE_SURGE,QM_PRESS,normal_coking
Z4_LEVEL_01,Tar Decanter/Seal Pot Level,4,EQ_Z4_TAR_EXTRACTOR,Level (Displacer/Radar),%vessel,40,70,25,85,10,95,0,100,10,2,90 days,1,5,1,LT-TAR-EXT-501,2,7,quarterly,yes,7,yes,BEH_SLOW_DRIFT,NOISE_LOW,level_control,SLOW,2.0,0.1,EV_MAINTENANCE_START;EV_MAINTENANCE_END,QM_OTHER,normal_coking
Z4_FLOW_01,Tar/Flushing Liquor Extraction Flow,4,EQ_Z4_TAR_EXTRACTOR,Flow (Mass/Ultrasonic),%design_flow,90,110,70,130,50,150,0,200,10,3,180 days,2,5,1,FT-TAR-EXT-501,2,6,6-monthly,no,6,yes,BEH_SLOW_DRIFT,NOISE_LOW,flow_control,MEDIUM,5.0,0.1,EV_PUMP_FAILURE,QM_OTHER,normal_coking
Z4_O2_GASLINE_01,Gas Line O2 Ingress Analyzer,4,EQ_Z4_TAR_EXTRACTOR,Oxygen (Gas-Side),%O2,0,1,1,2,2,10,0,25,5,2,30 days,1,10,1,GD-O2-GAS-Z4-01,1,10,monthly,yes,5,yes,BEH_LINEAR_RISE,NOISE_LOW,gas_diffusion,FAST,0.5,0.05,EV_O2_INGRESS,QM_GAS,normal_coking
Z4_FLAME_01,Tar Extractor Flame Detector (UV/IR),4,EQ_Z4_TAR_EXTRACTOR,Flame Detection (UV/IR),boolean,0,0,0,0,1,1,0,1,1,0,90 days,0,1,1,FD-TAR-Z4-01,1,10,quarterly,no,8,yes,BEH_STEP_CHANGE,NOISE_NONE,mechanical_state,FAST,1.0,0.0,EV_FIRE_DETECTION,QM_BOOLEAN,normal_coking
